tt,id_bv,name,khoa,gio_kham_bt,gio_kham_ng,gio_kham_dv,kham_dv,ghi_chu,nguoi_dien,link,,,,,,,,,,,,,,,,,,
38,ĐK BVTN2,Bệnh viện FV,"Khoa Cấp Cứu
 Khoa Nội Đa Khoa
 Khoa Y Học Cổ Truyền
 Khoa Nhi và Nhi sơ sinh
 Khoa Nội
 Khoa Cơ Xương Khớp
 Khoa Nội Thần Kinh
 Khoa Phổi
 Khoa Thận
 Khoa Nội Tiết & Tiểu Đường
 Khoa Tâm Thần
 Khoa Da Liễu
 Trung tâm Điều trị & Chăm sóc Da bằng Laser FV
 Chuyên Khoa Tim
 Chuyên Khoa Tiêu Hóa & Gan Mật
 Trung Tâm Điều Trị Ung Thư Hy Vọng
 Khoa Gây Mê Hồi Sức
 Khoa Dinh Dưỡng
 Khoa Tâm lý Lâm Sàng
 Trung tâm Điều trị Đau
 Khoa Ngoại Tổng Quát
 Khoa Phẫu Thuật Mạch Máu
 Khoa Chấn Thương Chỉnh Hình
 Khoa Tiết Niệu & Nam Khoa
 Khoa Sản Phụ khoa Trung tâm điều trị bệnh lý tuyến vú
 Viện Thẩm mỹ FV Lifestyle
 Khoa Tai Mũi Họng
 Khoa Mắt và Phẫu thuật khúc xạ
 Khoa Nha & Phẫu Thuật Hàm Mặt
 Ngoại Thần Kinh Và Can Thiệp Nội Mạch Thần Kinh
 Khoa Chẩn Đoán Hình Ảnh
 Khoa Y Học Hạt Nhân
 Khoa Xét Nghiệm & Ngân Hàng Máu
 Khoa Vật Lý Trị Liệu Và Phục Hồi Chức Năng","8:00 AM - 12:00 PM
1:00 PM - 5:00 PM",Thứ bảy: 8:00 AM - 12:00 PM,,1,,Thảo Lê,https://www.fvhospital.com/vi/gioi-thieu-chung/gioi-thieu-chung/,,,,,,,,,,,,,,,,,,
39,ĐK BVTN3,Bệnh viện đa khoa Tân Hưng,"Khoa Hồi sức cấp cứu
Khoa Nội
Khoa Kiểm soát nhiễm khuẩn
Khoa Khám bệnh
Khoa Vật lý trị liệu
Khoa Xét nghiệm
Khoa Mắt
Khoa Ngoại
Khoa Tai mũi họng
Khoa Phẫu thuật gây mê hồi sức
Đơn vị Nội soi
Khoa Dược
Khoa Chẩn đoán hình ảnh
Khoa Răng hàm mặt
Khoa Phẫu thuật thẩm mỹ",7:00 AM - 4:30 PM,,,1,,Thảo Lê,http://www.benhvientanhung.com/,,,,,,,,,,,,,,,,,,
40,ĐK BVTN4,Bệnh viện đa khoa Vạn Hạnh,"Khoa Khoa khám bệnh I và II
Khoa Nội
Khoa Ngoại
Khoa Phụ sản
Khoa Phẫu thuật gây mê hồi sức
Khoa Chẩn đoán hình ảnh
Khoa Nội soi
Khoa Tạo hình thẩm mỹ
Khoa Tai – Mũi – Họng
Khoa Răng – Hàm – Mặt
Khoa Hiếm muộn
Khoa Mắt","7:00 AM - 11:30 AM
1:30 PM - 5:00 PM",,,1,Không làm chiều chủ nhật,Thảo Lê,https://benhvienvanhanh.com/gioi-thieu/,,,,,,,,,,,,,,,,,,
41,ĐK BVTN5,Bệnh viện Đa khoa Tâm Trí Sài Gòn,"Khoa Cấp Cứu
Khoa Chẩn Đoán Hình Ảnh
Khoa Chủng Ngừa
Khoa Da Liễu
Khoa Dược
Khoa Gây Mê
Khoa Ngoại Chỉnh Hình
Khoa Ngoại Thần Kinh
Khoa Ngoại Thận Niệu
Khoa Nội Tiêu Hóa
Khoa Nội Xương Khớp
Khoa Tai Mũi Họng
Khoa Thận - Nội tiết
Khoa Tim Mạch
Khoa Ung Bướu
Khoa Xét Nghiệm
Nha Khoa
Nhãn Khoa
Nhi Khoa
Phụ Khoa
Sản Khoa",7:00 AM - 7:30 PM,,,1,,Thảo Lê,http://bvtamtrisaigon.com.vn/,,,,,,,,,,,,,,,,,,
42,ĐK BVTN6,Bệnh viện Quốc tế CITY ,"Sản phụ khoa, bao gồm Ung thư phụ khoa và khoa Hỗ trợ sinh sản
Khoa Nhi và Nhi sơ sinh
Khoa Ngoại Tổng quát
Khoa Chấn thương chỉnh hình
Khoa Gan Mật và tiêu hóa
Khoa Da Liễu
Khoa Can Thiệp Hình Ảnh
Khoa Ung Bướu
Khoa Hồi Sức Cấp Cứu","7:30 AM - 11:30 AM
1:00 PM - 4:30 PM",,,1,,Thảo Lê,https://cih.com.vn/,,,,,,,,,,,,,,,,,,
43,ĐK BVTN7,Bệnh viện đa khoa Triều An,"Khoa Khám bệnh
Khoa Ngoại tổng quát
Khoa Hồi sức cấp cứu
Khoa Nội thần kinh
Khoa Nội tim mạch
Khoa Nội tiết
Khoa Ngoại thần kinh
Khoa Nội – Ngoại nhi
Khoa Nội tổng hợp",5:00 AM - 7:00 PM,Chủ nhật: 6:30 AM - 11:30 AM,6:30 AM - 3:00 PM,1,,Thảo Lê,http://www.trieuanhospital.vn/,,,,,,,,,,,,,,,,,,
44,ĐK BVTN8,Bệnh viện Minh Anh,"Khoa Cấp cứu
Khoa Khám bệnh
Khoa Nội soi
Khoa Mắt
Khoa Chẩn đoán hình ảnh
Khoa Hậu môn- Trực tràng
Khoa Phẫu thuật gây mê hồi sức
Khoa Tai Mũi Họng
Khoa Điều trị nội trú
Khoa xét nghiệm
Khoa Dược
Khoa Điện sinh ký",7:00 AM - 4:00 PPM,Thứ bảy: 7:00 AM - 11:30 AM,,1,Chủ nhật nghỉ,Thảo Lê,https://www.minhanhhospital.com.vn/,,,,,,,,,,,,,,,,,,
45,ĐK BVTN9,Bệnh viện đa khoa Quốc Ánh,"Khám thai – sản phụ khoa
Khoa nội
Khoa ngoại
Khoa mắt
Khoa tai – mũi – họng
Khoa khám bệnh
Khoa cấp cứu
Khoa ngoại chấn thương chỉnh hình",7:00 AM - 4:00 PM,,,1,,Thảo Lê,http://www.benhvienquocanh.com.vn/,,,,,,,,,,,,,,,,,,
46,ĐK BVTN10,Bệnh viện Đa khoa quốc tế Vinmec Central Park,"Khoa Hồi sức - Cấp cứu
Khoa Gây mê - điều trị đau
Khoa Khám sức khỏe tổng quát
Khoa Tim mạch
Khoa Ung bướu-Xạ trị
Khoa Sản khoa
Khoa Phụ khoa
Khoa Hỗ trợ sinh sản
Khoa Nhi
Khoa Chẩn đoán hình ảnh
Khoa Xét nghiệm
Khoa Dược","Thứ hai đến thứ bảy:
8:00 AM - 5:00 PM",,,1,Không khám chủ nhật,Thảo Lê,https://www.vinmec.com/,,,,,,,,,,,,,,,,,,
47,ĐK BVTN11,Bệnh viện đa khoa Xuyên Á,"Khoa  cấp cứu
Khoa Khám bệnh
Khoa Ngoại tổng quát
Khoa Chấn thương chỉnh hình
Khoa Ngoại thần kinh
Khoa Ngoại tiết niệu
Khoa Chỉnh hình vi phẫu
Trung tâm can thiệp tim mạch
Khoa Phẫu thuật tim mạch- Lồng ngực
Khoa Ung bướu
Khoa Nội thần kinh
Khoa Nội tổng quát
Khoa Nội nội tiết
Khoa Nội thận
Khoa Nội hô hấp
Khoa Nội tim mạch
Khoa Lọc máu ngoài thận
Khoa  Sản- Phụ khoa
Khoa Nhi
Khoa Mắt
Khoa gây mê hồi sức
Khoa Hồi sức tích cực chống độc
Khoa Y học cổ truyền – phục hồi chức năng
Khoa Xét nghiệm
Khoa Chẩn đoán hình ảnh
Khoa Dược
Khoa Kiểm soát nhiễm khuẩn
Liên chuyên khoa
Trung tâm nội soi","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",4:00 PM - 8:00 PM,,1,Trung tâm tiêm chủng làm việc cả tuần,Thảo Lê,http://bvxuyena.com.vn/,,,,,,,,,,,,,,,,,,
48,ĐK BVTN12,Bệnh viện đa khoa Quốc tế Vũ Anh,"Khoa Khám bệnh
Khoa Dược
Khoa Nội
Khoa Ngoại
Khoa Nhi
Khoa Phụ Sản
Khoa Hồi sức cấp cứu
Khoa Vật lý trị liệu
Đơn vị Thận nhân tạo.
Đơn vị Nội soi
Khoa Chẩn đoán hình ảnh
Khoa Giải phẫu
Đo chức năng hô hấp
Khoa Xét nghiệm
Khoa Chẩn đoán hình ảnh.","7:00 AM - 11:30 AM
1:30 PM - 4:30 PM
Chủ nhật: 7:00 AM - 11:30 AM",,,1,,Thảo Lê,,,,,,,,,,,,,,,,,,,
49,ĐK BVTN13,Bệnh viện Hồng Đức III,"Khoa Chấn thương chỉnh hình
Khoa ung bướu
Khoa cấp cứu
Khoa Tai – Mũi – Họng
Khoa đột quỵ
Khoa khám bệnh
Khoa sản nhi
Khoa phẫu thuật GMHS
Khoa vật lý trị liệu
Khoa thẩm mỹ
Khoa Chẩn đoán ảnh – chức năng
Khoa nội tổng quát
Khoa mắt
Khoa Đông y
Khoa xét nghiệm
Khoa ngoại tổng quát","Trong tuần: 7:00 AM - 9:00 PM
Cuối tuần: 7;00 AM - 4:30 PM",,,1,,Thảo Lê,https://hongduchospital.vn/,,,,,,,,,,,,,,,,,,
50,ĐK BVTN14,Bệnh viện Đa khoa An Sinh,"Khoa khám bệnh
Khoa cấp cứu
Khoa nội tổng hợp
Trung tâm lọc máu
Khoa hồi sức
Khoa ngoại tổng hợp
Đơn vị hậu môn trực tràng
Đơn vị cơ xương khớp - y học thể thao
Khoa gây mê phẫu thuật
Khoa phụ sản
Đơn vị hỗ trợ sinh sản
Khoa Nhi và Hồi sức sơ sinh
Khoa phẫu thuật thẩm mỹ
Khoa mắt An Sinh
Khoa tai mũi họng
Khoa răng hàm mặt
Khoa xét nghiệm
Khoa chẩn đoán hình ảnh
Khoa nội soi
Khoa dược","Thứ hai đến thứ bảy:
7:30 AM - 7:00 PM
Chủ nhật: 7:30 AM - 12:00 PM",,,1,,Thảo Lê,http://www.ansinh.com.vn/,,,,,,,,,,,,,,,,,,
51,ĐK BVTN15,Bệnh viện Hoàn Mỹ Sài Gòn,"Khoa Xét nghiệm
Khoa Tim mạch
Khoa Ngoại (Tổng hợp, thần kinh)
Khoa Nội tổng hợp
Khoa Hồi sức và đơn vị lọc thận
Khoa Phẫu thuật gây mê hồi sức
Khoa Cấp cứu
Khoa Khám bệnh
Khoa Ngoại chấn thương chỉnh hình
Khoa Ngoại tiết niệu
Khoa Kiểm soát nhiễm khuẩn
Khoa Sản phụ khoa
Khoa Nội tim mạch
Khoa Nội thần kinh
Khoa Nội tiết
Khoa Dinh dưỡng và tiết chế
Khoa Chẩn đoán hình ảnh
Khoa Khoa dược","7:30 AM - 11:30 AM 
1:30 PM - 5:00 PM",,,1,Không khám chủ nhật,Thảo Lê,https://www.hoanmysaigon.com/,,,,,,,,,,,,,,,,,,
52,ĐK BVTN16,Bệnh viện Gia An 115,"Khoa Liên Chuyên Khoa. 
Khoa Vật lý trị liệu và Phục hồi chức năng. 
Khoa Chẩn đoán hình ảnh và Thăm dò chức năng. 
Khoa Xét nghiệm. 
Khoa Kiểm soát nhiễm khuẩn. 
Khoa Dược. 
Khoa Dinh dưỡng. 
Cấp cứu.",7:00 AM - 4:00 PM,,,1,Không khám chủ nhật,Thảo Lê,http://www.giaan115.com/,,,,,,,,,,,,,,,,,,
53,ĐK BVTN17,Bệnh viện đa khoa Quốc tế Nam Sài Gòn,"Trung tâm Ngoại Thần Kinh
Trung tâm Chấn Thương Chỉnh Hình – Cột Sống
Trung tâm Tiêu Hóa
Trung tâm Tiết Niệu
Trung tâm Răng Hàm Mặt
Trung tâm Mắt
Trung tâm Tạo Hình Thẩm Mỹ
Trung tâm Nhi
Trung tâm Ung Bướu
Trung tâm Nội Thần Kinh
Trung tâm Chẩn Đoán Hình Ảnh
Trung tâm Thăm Dò Chức Năng
Trung tâm Xét Nghiệm
Khoa Dược","7:30 AM - 12:00 PM
1:30 PM - 5:00 PM",,,1,,Thảo Lê,http://benhviennamsaigon.com.vn/,,,,,,,,,,,,,,,,,,
54,ĐK BVTN18,Bệnh viện Đa khoa Quốc tế Hoàn Mỹ Thủ Đức,"Khoa khám bệnh
Khoa chuẩn đoán hình ảnh
Khoa ngoại tổng hợp
Khoa hồi sức cấp cứu
Khoa phụ sản
Khoa nhi
Khoa gây mê hồi sức
Khoa nội tổng hợp
Khoa xét nghiệm","Thứ hai -> thứ bảy: 
7:00 AM - 11:30 AM
12:30 PM - 4:00 PM",,,1,,Thảo Lê,https://www.hoanmythuduc.com/,,,,,,,,,,,,,,,,,,
55,ĐK BVTN19,Bệnh viện Đa khoa Tâm Anh,"Khoa cấp cứu – Hồi sức tích cực.
Khoa Khám bệnh.
Khoa Chẩn đoán hình ảnh.
Khoa Xét nghiệm.
Khoa Nội tổng hợp.
Khoa Ngoại – Gây mê hồi sức.
Khoa Phụ sản.
Khoa Nội soi tiêu hóa.
Khoa Tiết niệu – Nam học.
Chuyên Khoa nhi.
Khoa Sơ sinh.
Trung tâm hỗ trợ sinh sản.",Cả tuần: 7:30 AM - 4:30 PM,,,1,,Thảo Lê,https://tamanhhospital.vn/,,,,,,,,,,,,,,,,,,
56,ĐK BVQP1,Bệnh viện Quân Dân Miền Đông,"Nội tổng hợp (Khoa A1);
Nhi (Khoa A3);
Y học cổ truyền,  Vật lý trị liệu & Phục hồi chức năng (A4);
Thận nhân tạo (Khoa A5);
Khoa Ngoại Chấn thương chỉnh hình – Thần kinh & Bỏng (B1);
Ngoại tổng quát (Khoa B2);
Ngoại chuyên khoa (Khoa B3);
Phẫu thuật – Gây mê hồi sức;
Phụ sản (Khoa B5);
Khám bệnh (Khoa C1);
Hồi sức cấp cứu (Khoa C2).
Xét nghiệm ( Khoa C3);
Chuẩn đoán hình ảnh, thăm dò chức năng và nội soi ( Khoa C4);
Khoa Dược – Trang thiết bị.","Trong tuần: 7:30 AM - 4:30 PM
Thứ bảy: 7:30 AM - 11:00 AM",,,1,,Thảo Lê,,,,,,,,,,,,,,,,,,,
57,ĐK PKĐK1,Phòng khám đa khoa thuộc Trung tâm Y tế quận 1,"Khoa Phụ Sản
Khoa Nhi
Khoa Mắt
Khoa Da liễu
Khoa Tai mũi họng
Khoa Răng Hàm Mặt
Khoa Ngoại
Khoa Chuẩn đoán hình ảnh, xét nghiệm",,,,,,Hồng Đới,http://trungtamytequan1.medinet.gov.vn/Default.aspx,,,,,,,,,,,,,,,,,,
58,ĐK PKĐK2,Phòng khám đa khoa thuộc Trung tâm Y tế Quận 6,,,,,,,Hồng Đới,http://trungtamytequan6.medinet.gov.vn/Default.aspx?desktop=1,,,,,,,,,,,,,,,,,,
59,ĐK PKĐK3,Phòng khám đa khoa thuộc Trung tâm y tế quận 7,"Khoa Nội tổng hợp
Khoa Ngoại
Khoa Sản phụ Khoa
Khoa Da liễu
Khoa Tai mũi họng
Khoa Răng hàm mặt
Khoa Mắt
Khoa Chuẩn đoán hình ảnh","Thứ 2 - CN: 07:00-17:00
","Thứ 2 - CN: 07:00-17:00
","Thứ 2 - CN: 07:00-17:00
",1,,Hồng Đới,http://trungtamytequan7.medinet.gov.vn/Default.aspx?desktop=1,,,,,,,,,,,,,,,,,,
60,ĐK PKĐK4,Phòng khám đa khoa thuộc Trung tâm Y tế quận Tân Phú,,,,,,,Hồng Đới,http://trungtamyte.tanphu.hochiminhcity.gov.vn/Default.aspx,,,,,,,,,,,,,,,,,,
61,ĐK PKĐK5,Phòng khám đa khoa thuộc Trung tâm y tế quận 9,,,,,,,Hồng Đới,http://trungtamytequan9.medinet.gov.vn/Default.aspx?desktop=1,,,,,,,,,,,,,,,,,,
62,ĐK PKĐK6,Phòng khám đa khoa ĐTH thuộc Chi nhánh Công ty Cổ phần phát triển Y tế Victoria Healthcare – Phòng khám đa khoa ĐTH,"Khoa Tiêu hóa - Gan mật
Khoa Nhi
Khoa Tim mạch
Khoa Sản-Phụ Khoa
Khoa Tiết Niệu - Nam khoa
Khoa Tai - Mũi -Họng
Khoa Nội thần kinh
Khoa Nội Tiết
Khoa Xương khớp
Khoa Chẩn đoán hình ảnh
Khoa Da liễu
Khoa Tâm lý
Khoa Ngoại
Khoa Hô hấp
Khoa xét nghiệm
Khoa Nội tổng quát","Thứ 2 – Thứ 6: 8h00 – 20h00
Thứ 7: 8h00 – 17h00
CN: 8h00 – 12h00 PM","Thứ 2 – Thứ 6: 8h00 – 20h00
Thứ 7: 8h00 – 17h00
CN: 8h00 – 12h00 PM","Thứ 2 – Thứ 6: 8h00 – 20h00
Thứ 7: 8h00 – 17h00
CN: 8h00 – 12h00 PM",1,,Hồng Đới,https://www.victoriavn.com/,,,,,,,,,,,,,,,,,,
63,ĐK PKĐK7,Phòng khám đa khoa quốc tế Columbia Asia-Sài Gòn thuộc Công ty TNHH Columbia Asia,"Khoa Nội
Khoa Sản phụ khoa
Khoa Tai mũi họng
Khoa Ngoại tổng quát
Khoa Nhi
Khoa Nha
Khoa Mắt
Khoa Da liễu","Thứ Hai – Thứ Sáu: 8g00 - 17g00
Thứ Bảy: 8g00 - 12g00","Thứ Hai – Thứ Sáu: 8g00 - 17g00
Thứ Bảy: 8g00 - 12g00","Thứ Hai – Thứ Sáu: 8g00 - 17g00
Thứ Bảy: 8g00 - 12g00",1,,Hồng Đới,https://www.columbiaasia.com/vietnam/vn/benh-vien/saigon/gioi-thieu-chung,,,,,,,,,,,,,,,,,,
64,ĐK PKĐK8,Phòng khám đa khoa thuộc Chi nhánh Công ty cổ phần Chăm sóc sức khỏe Việt Gia,"Khoa Nội
Khoa Ngoại
Khoa Tai mũi họng
Khoa Nha
Khoa Da liễu
Khoa Nhi
Khoa Phụ Khoa
Khoa Chẩn đoán hình ảnh
Khoa Xét nghiệm
Khoa Mắt",Thứ Hai đến Thứ Bảy：7 giờ 30 phút - 11 giờ 30 phút ／ 13 giờ - 16 giờ 30 phút,Thứ Hai đến Thứ Bảy：7 giờ 30 phút - 11 giờ 30 phút ／ 13 giờ - 16 giờ 30 phút,Thứ Hai đến Thứ Bảy：7 giờ 30 phút - 11 giờ 30 phút ／ 13 giờ - 16 giờ 30 phút,1,,Hồng Đới,http://www.vietgiaclinic.com/,,,,,,,,,,,,,,,,,,
65,ĐK PKĐK9,Phòng khám đa khoa thuộc Công ty Cổ phần Vigor Anbis Japan,"Khoa Nội
Khoa Ngoại
Khoa Tai mũi họng
Khoa Răng Hàm Mặt
Khoa Da liễu
Khoa Nhi
Khoa Phụ Khoa
Khoa Chẩn đoán hình ảnh
Khoa Xét nghiệm
Khoa Mắt","Thứ 2 - Thứ 7
- Sáng: 07:30 - 11:30
- Chiều: 13:00 - 17:00","Thứ 2 - Thứ 7
- Sáng: 07:30 - 11:30
- Chiều: 13:00 - 17:00","Thứ 2 - Thứ 7
- Sáng: 07:30 - 11:30
- Chiều: 13:00 - 17:00",1,,Hồng Đới,"https://www.healthcare.com.vn/
https://www.healthcare.com.vn/",,,,,,,,,,,,,,,,,,
66,ĐK PKĐK10,Phòng khám đa khoa thuộc Công ty TNHH Lab Group International Việt Nam,,,,,1,,Hồng Đới,Không tìm được,,,,,,,,,,,,,,,,,,
67,ĐK PKĐK11,Phòng khám đa khoa Thuộc Công ty TNHH PKĐK Quốc tế An Phú,"Khoa Tai mũi họng
Khoa Răng Hàm Mặt
Khoa Nhi
Khoa Sản
Khoa Chấn thương chỉnh hình
Khoa Xét nghiệm
Khoa Nội",T2-T7: 07h30-16h30,T2-T7: 16h30-18h30 (cấp cứu),T2-T7: 07h30-16h30,1,,Hồng Đới,https://pkanphu.com/,,,,,,,,,,,,,,,,,,
68,ĐK PKĐK12,Phòng khám đa khoa thuộc Chi nhánh 3 Công ty TNHH Chất lượng cuộc sống Kim Cương- Trung tâm đa khoa Diamond,"Khoa Tai mũi họng
Khoa Răng Hàm Mặt
Khoa Sản Phụ Khoa
Khoa Nội
Khoa Da Liễu
Khoa Nhi",Thứ 2 tới thứ 7: Sáng 7h30-11h30; Chiều 13h-17h,"Thứ 2 tới thứ 6: Tối 17h-20h
Chủ nhật: 7h30-12h",Thứ 2 tới thứ 7: Sáng 7h30-11h30; Chiều 13h-17h,1,,Hồng Đới,https://ykhoadiamond.com/,,,,,,,,,,,,,,,,,,
69,ĐK PKĐK13,Phòng khám đa khoa Raffles Medical thuộc Chi nhánh Công ty TNHH Sức khỏe trọn đời tại TP. Hồ Chí Minh,"Khoa Tai mũi họng
Khoa Sản Phụ Khoa
Khoa Nội
Khoa Da Liễu
Khoa Nhi
Khoa Mắt
Khoa Răng Hàm Mặt","Thứ 2 – Thứ 6: 8:00 – 22:00
Thứ 7: 8:00 – 12:00","Thứ 2 – Thứ 6: 8:00 – 22:00
Thứ 7: 8:00 – 12:00","Thứ 2 – Thứ 6: 8:00 – 22:00
Thứ 7: 8:00 – 12:00",1,,Hồng Đới,https://rafflesmedical.vn/vi/phong-kham-ho-chi-minh/,,,,,,,,,,,,,,,,,,
70,ĐK PKĐK14,Phòng khám đa khoa thuộc Chi nhánh Công ty Cổ phần Đầu tư 3H - Phòng khám đa khoa Quốc tế Yersin,"Khoa Tai mũi họng
Khoa Sản Phụ Khoa
Khoa Nội
Khoa Chẩn đoán hình ảnh
Khoa Nhi
Khoa Răng Hàm Mặt
Khoa Nội tiết
Khoa Nội Tim mạch
Khoa Tiêu hóa - Gan mật
Khoa Xét nghiệm","Từ thứ 2 đến thứ 7: 7:30 – 12:00, 13:00 – 17:00 ","Từ thứ 2 đến thứ 7: 7:30 – 12:00, 13:00 – 17:00 ","Từ thứ 2 đến thứ 7: 7:30 – 12:00, 13:00 – 17:00 ",1,,Hồng Đới,http://www.yersinclinic.com/,,,,,,,,,,,,,,,,,,
71,ĐK PKĐK15,Phòng khám đa khoa thuộc Chi nhánh Công ty cổ phần sữa Việt Nam - Phòng khám đa khoa An Khang,"Khoa Tai mũi họng
Khoa Sản Phụ Khoa
Khoa Nội tổng quát
Khoa Chẩn đoán hình ảnh
Khoa Răng Hàm Mặt
Khoa Nội tiết
Khoa Ngoại tổng quát
Khoa Mắt
Khoa Xét nghiệm
Khoa Nội tim mạch
Khoa Da liễu",7:30 – 17:00 ,7:30 – 17:00 ,7:30 – 17:00 ,1,,Hồng Đới,https://www.akclinic.com.vn/,,,,,,,,,,,,,,,,,,
72,ĐK PKĐK16,Phòng khám đa khoa thuộc chi nhánh công ty cổ phần y tế Việt Anh,"Khoa Nhi
Khoa Nội
Khoa Ngoại
Khoa Phụ khoa
Khoa Y học cổ truyền
Khoa xét nghiệm, siêu âm, x-quang",Liên hệ trực tiếp,Liên hệ trực tiếp,Liên hệ trực tiếp,1,,Hồng Đới,https://dhamedic.vn/,,,,,,,,,,,,,,,,,,
73,ĐK PKĐK17,Phòng khám đa khoa thuộc chi nhánh Công ty TNHH phòng khám đa khoa Sài Gòn - Trung tâm khám bệnh số 2,"Khoa Chuẩn đoán hình ảnh
Khoa Da Liễu
Khoa Mắt
Khoa Ngọai
Khoa Nội
Khoa Răng Hàm Mặt
Khoa Sản
Khoa Tai Mũi Họng
Khoa Xét nghiệm",(T2 - T7) 7h30 – 11h30 / 13h00 – 17h00 (nghỉ Lễ & Tết),(T2 - T7) 7h30 – 11h30 / 13h00 – 17h00 (nghỉ Lễ & Tết),(T2 - T7) 7h30 – 11h30 / 13h00 – 17h00 (nghỉ Lễ & Tết),1,,Hồng Đới,https://phongkhamdakhoasaigon.com/,,,,,,,,,,,,,,,,,,
74,ĐK PKĐK18,Phòng khám đa khoa thuộc Công ty Cổ phần bệnh viện PACIFIC,,,,,,,Hồng Đới,Không tìm được,,,,,,,,,,,,,,,,,,
75,ĐK PKĐK19,Phòng khám đa khoa thuộc Cty TNHH Monaco Healthcare,"Khoa Nội tổng quát
Khoa Nội tiêu hóa - gan mật
Khoa Da liễu
Khoa Răng hàm mặt","T2-T6: 07h30-16h30
T7: 09h00-17h00","T2-T6: 07h30-16h30
T7: 09h00-17h00","T2-T6: 07h30-16h30
T7: 09h00-17h00",1,,Hồng Đới,"http://monacohealthcare.com/
https://www.facebook.com/Monacohealthcarevn/?ref=page_internal",,,,,,,,,,,,,,,,,,
76,ĐK PKĐK20,Phòng khám đa khoa DHA Healthcare thuộc Công ty Cổ phần Y tế DHA,"Khoa Nội tổng quát
Khoa Nhi
Khoa Răng Hàm Mặt
Khoa Tai Mũi Họng
Khoa Phụ khoa",Sáng 7:30 - 11:30 | Chiều 13:00 - 17:00 I Từ Thứ 2 - Thứ 7,Sáng 7:30 - 11:30 | Chiều 13:00 - 17:00 I Từ Thứ 2 - Thứ 7,Sáng 7:30 - 11:30 | Chiều 13:00 - 17:00 I Từ Thứ 2 - Thứ 7,1,,Hồng Đới,https://www.dhahealthcare.vn/,,,,,,,,,,,,,,,,,,
77,ĐK PKĐK21,Phòng khám đa khoa Thiên Phước thuộc Công ty TNHH Phòng khám đa khoa Thiên Phước,"Khoa Gan mật
Khoa Xét nghiệm
Nha Khoa
Khoa Da liễu
Khoa Chẩn đoán hình ảnh
Khoa Tai mũi họng
Khoa Phụ sản
Khoa Nội tiết
Khoa Nhi
Khoa Ngoại
Khoa Nội",Từ 7:00 – 19:00 từ Thứ 2 đến CN,Từ 7:00 – 19:00 từ Thứ 2 đến CN,Từ 7:00 – 19:00 từ Thứ 2 đến CN,1,,Hồng Đới,https://phongkhamthienphuoc.vn/,,,,,,,,,,,,,,,,,,
78,ĐK PKĐK22,Phòng khám đa khoa đại học Nguyễn Tất Thành thuộc Công ty cổ phần Dệt may Sài Gòn,"Khoa Nội
Khoa Ngoại
Khoa Sản
Khoa Nhi
Khoa Da liễu
Khoa Mắt
Khoa Tai Mũi Họng
Khoa Răng Hàm Mặt","thứ 2 – Chủ nhật: 7h30 – 11h30, 13h30 – 20h00","thứ 2 – Chủ nhật: 7h30 – 11h30, 13h30 – 20h00","thứ 2 – Chủ nhật: 7h30 – 11h30, 13h30 – 20h00",,,Hồng Đới,,,,,,,,,,,,,,,,,,,
79,ĐK PKĐK23,Phòng khám đa khoa thuộc Trường đại học Y khoa Phạm Ngọc Thạch,"Khoa Nội
Khoa Răng Hàm Mặt
Khoa Ngoại
Khoa Sản
Khoa Nhi
Khoa Da liễu
Khoa Tai Mũi Họng
Khoa Vật lý trị liệu
Khoa Chấn thương chỉnh hình
Khoa Y học cổ truyền
Khoa mắt",,,,1,Tư vấn tâm lý,Hồng Đới,https://phongkhamdaihocypnt.edu.vn/wp/#/,,,,,,,,,,,,,,,,,,
80,ĐK PKĐK24,Phòng khám đa khoa thuộc Chi nhánh Công ty TNHH  Thương Mại Dịch vụ Y khoa Eurovie- Phòng khám đa khoa Eurovie,,,,,,,Hồng Đới,Không tìm được,,,,,,,,,,,,,,,,,,
81,ĐK PKĐK25,Phòng khám đa khoa thuộc Công ty Cổ phần Y tế Y Việt,,,,,,,Hồng Đới,Không tìm được,,,,,,,,,,,,,,,,,,
82,ĐK PKĐK26,Phòng khám đa khoa thuộc Doanh nghiệp tư nhân Phòng khám đa khoa Hồng Lạc,"Khoa Nội
Khoa Ngoại
Khoa Răng Hàm Mặt
Khoa Sản phụ khoa
Khoa Tai Mũi Họng
Khoa Mắt
Khoa Da liễu
Khoa Chẩn đoán hình ảnh","T2-T7: 07h00-20h00
CN: 07h00-12h00","T2-T7: 07h00-20h00
CN: 07h00-12h00","T2-T7: 07h00-20h00
CN: 07h00-12h00",1,,Hồng Đới,https://www.phongkhamhonglac.com/,,,,,,,,,,,,,,,,,,
83,ĐK PKĐK27,Phòng khám đa khoa thuộc Công ty TNHH Trung tâm Y khoa Hoàng Khang,"Khoa Nội
Khoa Ngoại
Khoa Nhi
Khoa Sản phụ
Khoa Tai Mũi Họng
Khoa Răng Hàm Mặt
Khoa Mắt","T2-T7: 07:30 - 17:30
CN: 07:00 - 12:00","T2-T7: 07:30 - 17:30
CN: 07:00 - 12:00","T2-T7: 07:30 - 17:30
CN: 07:00 - 12:00",1,,Hồng Đới,https://ttykhoangkhang.com/,,,,,,,,,,,,,,,,,,
